original	corrected	count
tabyanin	tabyanın	24
rastladiğim	rastladığım	17
tabyasi	tabyası	15
yaralilara	yaralılara	14
yaylim	yaylım	13
Bulgar’in	Bulgar’ın	11
Tuceniçe	Tüceniçe	11
Tabyanin	Tabyanın	11
Zohrab’in	Zohrab’ın	11
yaralinin	yaralının	10
tabyalari	tabyaları	10
tabyasina	tabyasına	9
yaralarini	yaralarını	9
tabyayi	tabyayı	9
tabyasinin	tabyasının	8
Romanyali	Romanyalı	8
Romanyalilarin	Romanyalıların	8
zayiati	zayiatı	8
sardim	sardım	8
doktorlarinin	doktorlarının	8
Stiven	Ştiven	7
yağiz	yağız	7
yaralilarla	yaralılarla	7
kurşunlari	kurşunları	7
baktiğim	baktığım	6
karakollari	karakolları	6
Stiven’in	Ştiven’in	6
Romanyalilar	Romanyalılar	6
hücumlarini	hücumlarını	6
istiraplar	ıstıraplar	6
Viyanali	Viyanalı	6
yaralilardan	yaralılardan	6
tabyasindan	tabyasından	6
kasabasina	kasabasına	5
kitasinda	kıtasında	5
şiği	sığı	5
haremağasi	haremağası	5
sandiğim	sandığım	5
atlarimizi	atlarımızı	5
vardiğim	vardığım	5
bombardimanin	bombardımanın	5
parçasiyla	parçasıyla	5
vardiğimiz	vardığımız	5
Lofca’nin	Lofça’nın	5
birtakimi	birtakımı	5
yaraliya	yaralıya	5
yaralidan	yaralıdan	5
yaralilarimizi	yaralılarımızı	5
nalinin	nalının	5
tabyasini	tabyasını	5
arkadaşti	arkadaştı	4
karlari	karları	4
Misserie’nin	Mişserie’nin	4
birçoklarinin	birçoklarının	4
yikadim	yıkadım	4
Fransiz’in	Fransız’ın	4
andiriyordu	andırıyordu	4
bacaği	bacağı	4
atilgan	atılgan	4
manzaranin	manzaranın	4
sokağin	sokağın	4
doktorlarindan	doktorlarından	4
atimla	atımla	4
yilbaşı	yılbaşı	4
gidali	gıdalı	4
çadiri	çadırı	4
getiriyorlardi	getiriyorlardı	4
tabyalarindan	tabyalarından	4
tabyalarinin	tabyalarının	4
atlarindan	atlarından	4
Lofca’yi	Lofça’yı	4
arkadaşlarimla	arkadaşlarımla	4
ağacinin	ağacının	4
kitalarimizin	kıtalarımızın	4
tahkimati	tahkimatı	4
meydanindan	meydanından	4
yatiyorlardi	yatıyorlardı	4
yaraliyi	yaralıyı	4
Tuteniçe	Tüteniçe	4
aradiğim	aradığım	4
sargilar	sargılar	4
Pelişat	Pelışat	4
yaklaştiğim	yaklaştığım	4
atlarimizin	atlarımızın	4
tabyasinda	tabyasında	4
tabyasindaki	tabyasındakı	4
atlarinin	atlarının	4
badanali	badanalı	4
humbaranin	humbaranın	4
tercümanimiz	tercümanımız	4
Vaçin	Vacin	4
dostlarimin	dostlarımın	3
birçoklarini	birçoklarını	3
arkadaşliği	arkadaşlığı	3
