original	corrected	count
Gürpinar	Gürpınar	4
SILISTRE	SİLİSTRE	1
ŞIRKETI	ŞİRKETİ	1
SOK	ŞOK	1
ISTIKLA1	İSTİKLAL	1
GUNUMUZ	GÜNÜMÜZ	1
TURKCESINE	TÜRKÇESİNE	1
Dilt	Dut	1
ogrenimini	öğrenimini	1
tma	tin	1
Çurak	Çırak	1
Izmir'dc	İzmir'dc	1
Bolumu'ndcki	Bölümü'ndcki	1
Cumburiyet	Cümbüriyet	1
röportajiyla	röportajıyla	1
kitabiyla	kitabıyla	1
Îzmir	İzmir	1
tiyatrolarindan	tiyatrolarından	1
kahramanliğ	kahramanlığ	1
Kırim	Kırım	1
macerasini	macerasını	1
aktardiğıni	aktardığını	1
Paşa'nin1	Paşa'nın	1
çağrisiyla	çağrısıyla	1
kapatilacak	kapatılacak	1
uzaklaştirilmak	uzaklaştırılmak	1
Mutasarrifliğr'na	Mutasarrıflığr'na	1
atanacaktir	atanacaktır	1
manlilar'a	manlılar'a	1
Mubbir	Mübbir	1
yayımlanmıtir	yayımlanmıtır	1
Osmanlilar'in	Osmanlılar'ın	1
Osmanhlar'in	Osmanhlar'ın	1
vatamn	vatanın	1
uğrurıda	uğrunda	1
dururnda	durumda	1
yaşarnam	yaşanan	1
Kollanmı	Kollarını	1
Saçlan	Saçları	1
Gözleriinde	Gözlerinde	1
adarnın	adamın	1
ölürürn	olurum	1
durnam	duman	1
Vatanırn	Vatanın	1
iNTIBAH	İNTİBAH	1
EFENDI	EFENDİ	1
Samipasazade	Samipaşazade	1
MAI	MAİ	1
