original	corrected	count
Gürpinar	Gürpınar	3
lııgıı	luğu	1
Icindekiler	İçindekiler	1
BIRINCI	BİRİNCİ	1
KÖTÜLÜKLERI	KÖTÜLÜKLERİ	1
Itilafçı	İtilafçı	1
iKINCI	İKİNCİ	1
IZMIR'DEN	İZMİR'DEN	1
Kayniyor!	Kaynıyor!	1
Isyanlar	İsyanlar	1
!imanın	umarım	1
görünrnüyordu	görünmüyordu	1
mernlekette	memlekette	1
adarnlar	adamlar	1
kazandıklan	kazandıkları	1
görüştüın	görüştüm	1
yarnan	yanan	1
Rurnlara	Rumlara	1
dernin	derin	1
yürürnüş	yürümüş	1
subaylanndan	subaylarından	1
dışandan	dışarıdan	1
Rumlan	Rumları	1
tavırlan	tavırları	1
mernlekete	memlekete	1
matrnazel	matmazel	1
kenannda	kenarında	1
yağınur	yağmur	1
alnıaktan	almaktan	1
olduğurnun	olduğunun	1
alacaklan	alacakları	1
Rernzi	Remzi	1
rnüsteşar	müsteşar	1
mirirn	rinin	1
ikrarn	ikram	1
Hanırn'ı	Hanım'ı	1
tanıanı	tamamı	1
nıüsteşar	müsteşar	1
bugiin	bugün	1
barikaya	bankaya	1
piyanonurı	piyanonun	1
sadrazarnın	sadrazamın	1
diizen	düzen	1
dağildilar	dağıldılar	1
açıkladilar	açıkladılar	1
tartiıldi	tartııldı	1
Istanbul’dakiler	İstanbul’dakıler	1
Misakimilli	Misakımıllı	1
siradadir	sıradadır	1
Aydin'da	Aydın'da	1
savaan	savun	1
Isteklerinin	İsteklerinin	1
iddialarinın	iddialarının	1
kaldiğıni	kaldığını	1
yaydiran	yaydıran	1
Kuvayimilliye’nin	Kuvayımilliye’nin	1
kaldirilmasinda	kaldırılmasında	1
Kuvayimilliye	Kuvayımilliye	1
şaşirdilar	şaşırdılar	1
hücurn	hücum	1
şartlan	şartları	1
ernretti	emretti	1
bilınediği	bilmediği	1
örnrünün	ömrünün	1
suçlamalan	suçlamaları	1
cevaplan	cevapları	1
mernleketlerde	memleketlerde	1
Hanı'nı	Han'ın	1
karşma	karşıma	1
mernleketi	memleketi	1
üzerirıde	üzerinde	1
EDEBIYATI	EDEBİYATI	1
DIZISI	DİZİSİ	1
INTIBAH	İNTİBAH	1
EVLENMESI	EVLENMESİ	1
Sinasi	Şinasi	1
$EYLER	ŞEYLER	1
Semsettin	Şemsettin	1
SIYAH	SİYAH	1
Uakligil	Uaklıgıl	1
Mizanci	Mizancı	1
CINGENE	ÇİNGENE	1
KALBI	KALBİ	1
Haim	Hain	1
KAGNI	KAĞNI	1
KURTULU$	KURTULUŞ	1
GAR	ÇAR	1
BAN	BİN	1
Hasim	Haşim	1
Hayatinin	Hayatının	1
romandir	romandır	1
yillardaki	yıllardaki	1
yaşamindan	yaşamından	1
kullanmiştir	kullanmıştır	1
subayliğina	subaylığını	1
yazarlikla	yazarlıkla	1
uğraştiysa	uğraştıysa	1
yayimladi	yayımladı	1
Uşakligil’e	Uşaklıgil’e	1
yayimlamasi	yayımlaması	1
edebiyatinda	edebiyatında	1
romanin	romanın	1
romaniyla	romanıyla	1
romaninda	romanında	1
alinmitir	alınmıtır	1
kullanmasinin	kullanmasının	1
romanlarinda	romanlarında	1
yazarlarindan	yazarlarından	1
