original	corrected	count
ilikin	ılıkın	65
Libya’nin	Libya’nın	39
Noradonkyan’in	Noradonkyan’ın	33
Ada’nin	Ada’nın	29
adalarin	adaların	27
Trablusgarp’in	Trablusgarp’ın	24
Libya’yi	Libya’yı	24
Italyanlari	İtalyanları	23
Ada’yi	Ada’yı	23
Nogara’nin	Nogara’nın	23
Memorie	Memorıe	22
Babiâlinin	Babıalinin	21
hükümranlik	hükümranlık	19
talya’nin	talya’nın	16
Ittifak’in	İttifak’ın	15
igali	ığalı	14
hükümranliği	hükümranlığı	13
Poincaré	Poincare	13
yanitta	yanıtta	12
Poincaré’nin	Poincare’nin	12
ilhakini	ilhakını	11
hükümranliğini	hükümranlığını	11
Turkisb	Türkisb	11
Racconigi	Raçconıgı	10
Corradini	Corradını	9
bulunmalarini	bulunmalarını	9
karılik	karılık	9
Peteani	Peteanı	8
Dıişleri	Dıışleri	8
Imperiali	Imperialı	8
imzalanmasini	imzalanmasını	8
çabasinda	çabasında	8
uyarisini	uyarısını	8
bakaninin	bakanının	8
adalarini	adalarını	8
hükümranliğina	hükümranlığına	8
tavrinin	tavrının	8
nişaninin	nişanının	8
Annexation	Annexatıon	8
Ittifak’1	İttifak’1	7
ilikiler	ılıkıler	7
Nikola’nin	Nikola’nın	7
şartina	şartına	7
taslağini	taslağını	7
Bosdari	Boşdarı	7
imzalanmasindan	imzalanmasından	7
Bompard’in	Bompard’ın	7
tasarisini	tasarısını	7
Antlamasi	Antlaması	6
igaline	ığalıne	6
Dışileri	Dişileri	6
Kizildeniz’deki	Kızıldeniz’deki	6
doğuracaği	doğuracağı	6
inandiğini	inandığını	6
Theodoli	Theodolı	6
talyanlarin	talyanların	6
Babiâliyi	Babıaliyi	6
Babiâliye	Babıaliye	6
adalarinin	adalarının	6
ilaninda	ilanında	6
Manfroni	Manfronı	6
çalkantili	çalkantılı	5
şartini	şartını	5
ilhakina	ilhakına	5
imtiyazini	imtiyazını	5
Italya’daki	İtalya’dakı	5
Bollati	Bollatı	5
Araplarinin	Araplarının	5
koyacakti	koyacaktı	5
ilikileri	ılıkıleri	5
diişleri	dıışleri	5
