original	corrected	count
Misyon'iın	Misyon'un	1
Arıbumu	Arıburnu	1
başansızlığa	başarısızlığa	1
başlatilmiti	başlatılmıtı	1
arttiğına	arttığına	1
yaptiğım	yaptığım	1
Bağdat'in	Bağdat'ın	1
çağrildim	çağrıldım	1
Gurna	Guna	1
olmadığma	olmadığına	1
sonbahannda	sonbaharında	1
kimsenirı	kimsenin	1
Avca	Avcı	1
Sabahi	Sabahı	1
AAAS	AUS	1
sababi	sababı	1
Kurnandanlığı'na	Kumandanlığı'na	1
gözlenme	gözlerine	1
Anburnu	Arıburnu	1
Taburlan	Taburları	1
kumandasini	kumandasını	1
yakinlaştiran	yakınlaştıran	1
unutulmayacaklardir	unutulmayacaklardır	1
Imparatorlugu’nda	İmparatorluğu’nda	1
genelkurmayinin	genelkurmayının	1
yaşadiklarimi	yaşadıklarını	1
Ordulari'nin	Orduları'nın	1
Yil’in	Yıl’ın	1
aslindan	aslından	1
yargilandi	yargılandı	1
açiklayici	açıklayıcı	1
