original	corrected	count
İsterne	İsteme	1
yayımladiğ1	yayımladığı	1
ilikin	ılıkın	1
yarin	yarın	1
kag	kaç	1
kisminın	kısmının	1
yabanci	yabancı	1
sütuniarda	sütunıarda	1
bagliyoruz	bağlıyoruz	1
Hatrattaki	Hatrattakı	1
Hatiralarda	Hatıralarda	1
okunuşlariyla	okunuşlarıyla	1
larinin	larının	1
hatiralarinin	hatıralarının	1
hatirati	hatıratı	1
Savaşi’nin	Savaşı’nın	1
yapti	yaptı	1
Iskeçe	İskeçe	1
sonlarinda	sonlarında	1
ayni	aynı	1
Idadisi'nde	İdadisi'nde	1
Idadisi	İdadisi	1
kaymakamliği	kaymakamlığı	1
mutasarrifliğa	mutasarrıflığa	1
Balikesir	Balıkesir	1
sancaklari	sancakları	1
yargilanmasi	yargılanması	1
yaninda	yanında	1
aldi	aldı	1
mutasarrifliklarina	mutasarrıflıklarına	1
taniştiktan	tanıştıktan	1
Elaziğ	Elazığ	1
Şubat’inda	Şubat’ında	1
ayaklanmasi	ayaklanması	1
Istiklal	İstiklal	1
Soyadi	Soyadı	1
soyadi	soyadı	1
yillarinda	yıllarında	1
şiirası	şurası	1
dururnurnun	durumunun	1
odaının	odanın	1
toplarnam	toplanan	1
yapnın	yapının	1
Çalışmalanna	Çalışmalarına	1
Paşarn	Paşam	1
kurnandayı	kumandayı	1
düşünrnek	düşünmek	1
devarn	devam	1
rnesele	mesele	1
rnüşkül	müşkül	1
etrneli	etmeli	1
rnüstenit	müstenit	1
rnüstakil	müstakil	1
Hükürneti	Hükümeti	1
dernekti	demekti	1
Curnhuriyet	Cumhuriyet	1
Kernal'i	Kemal'i	1
rnernuriyeti	memuriyeti	1
Sarnsun'a	Samsun'a	1
Erzururn'a	Erzurum'a	1
urnurn	unun	1
kurnandanlara	kumandanlara	1
rnenfi	menfi	1
rnebni	mebni	1
rnuhabere	muhabere	1
gelrnek	gelmek	1
rnernleketi	memleketi	1
Aynlmış	Ayrılmış	1
menileket	memleket	1
karip	kamp	1
kıyınet	kıymet	1
inanını	namını	1
ilanma	ilanına	1
tutarn	tutan	1
okunınası	okunması	1
azasmdan	azasından	1
Arnerikan	Amerikan	1
rnahsulü	mahsulü	1
duyduğurnu	duyduğunu	1
harimi	hanım	1
Peyarn	Peyam	1
ternin	temin	1
arnal	amal	1
nizarnnarnenin	nizamnamenin	1
rnusarrah	musarrah	1
rnaksadı	maksadı	1
etmernek	etmemek	1
rnukarreratı	mukarreratı	1
Ternsiliye	Temsiliye	1
Maniafih	Mamafih	1
rnuhakernesi	muhakemesi	1
rnüzakereye	müzakereye	1
rnucip	mucip	1
olunınuştur	olunmuştur	1
rnuhtıranın	muhtıranın	1
rnani	mani	1
İkarnet	İkamet	1
bırakılınasını	bırakılmasını	1
Cenıal	Cemal	1
selarnet	selamet	1
toplamr	toplanır	1
imanına	namına	1
Telgraflan	Telgrafları	1
Şiıra	Şura	1
ederneyeceği	edemeyeceği	1
alaiminin	alanının	1
ikdarı	ikdam	1
sükiin	sükun	1
Adapazan	Adapazarı	1
rnüdafaası	müdafaası	1
yatrnak	yatmak	1
şeriri	senin	1
Paşa1nın	Paşanın	1
mebuslan	mebusları	1
giiya	güya	1
rneselenin	meselenin	1
lüzurn	lüzum	1
rnuvafakat	muvafakat	1
bekleyeri	bekleyen	1
