original	corrected	count
yazdiğ	yazdıg	32
Tissier	Tişsier	23
olmadiğ	olmadıg	17
Aliçeoğlu	Aliceoğlu	17
yaptiğ	yaptığ	16
Hanimefendiye	Hanımefendiye	13
ihtirâmât	ihtiramat	13
aldiğ	aldığ	12
vâridât	varidat	12
ihtiyâr	ihtiyar	12
vefatinda	vefatında	11
hanimefendiye	hanımefendiye	11
nafakasi	nafakası	10
mûcibince	mucibince	10
şerâit	şerait	10
masârifi	masarifi	9
ihtirâm	ihtiram	9
okunamadi	okunamadı	9
lûtufnamenizi	lütufnamenizi	9
Heloin	Heloın	9
Kâbil'de	Kabil'de	9
almi	almı	8
ricâlden	ricalden	8
tafsilât	tafsilat	8
ibârettir	ibarettir	8
Islâmiye'yi	İslamiye'yi	8
tarîki	tariki	8
tahsîsi	tahsisi	7
âlilerine	alilerine	7
buyurmanizi	buyurmanızı	7
tarîkiyle	tarikiyle	7
Müslümanlar’in	Müslümanlar’ın	7
âfiyet	afiyet	7
selâmlari	selamları	7
Afganistan'in	Afganistan'ın	7
âfiyetteyim	afiyetteyim	7
yazildiğ	yazıldığ	6
bâbdaki	babdaki	6
istirhâm	istirham	6
Islâmiye'nin	İslamiye'nin	6
Islâmiye'ye	İslamiye'ye	6
hissiyât	hissiyat	6
nüshasini	nüshasını	6
Refikamin	Refikamın	6
Tissier'nin	Tişsier'nin	6
ibtidâr	ibtidar	6
cihâd	cihad	6
kalmi	kalmı	5
vârislerine	varislerine	5
Mutasarrfi	Mutasarrfı	5
Mutasarnfi	Mutasarnfı	5
hanimina	hanımına	5
Kirm	Kırm	5
erâmil	eramıl	5
mâzuliyet	mazuliyet	5
yâverleri	yaverleri	5
tahkimâti	tahkimatı	5
buyurulmasini	buyurulmasını	5
siyasîye	siyasiye	5
Azîzim	Azizim	5
tâlik	talik	5
Fransizlar'in	Fransızlar'ın	5
vâzih	vazıh	5
yazilmi	yazılmı	5
Islamique	İslamique	5
iktirân	iktiran	5
Grabowska'nin	Grabowska'nın	5
evlâdim	evladım	5
Hrisostomos	Hrısostomos	5
Alp'im	Alp'ım	5
meâli	meali	5
Arslan'in	Arslan'ın	4
Aliçe'nin	Alice'nin	4
Alparslan’in	Alparslan’ın	4
biraktiğ	bıraktığ	4
yeraliyor	yeralıyor	4
bâliğ	baliğ	4
nâmlarina	namlarına	4
bulunmadiğ	bulunmadığ	4
kaldiğ	kaldığ	4
istikrâz	istikraz	4
emâkin	emakin	4
masârifini	masarifini	4
vâbestedir	vabestedir	4
şâhânelerine	şahanelerine	4
zâid	zaid	4
şifâhen	şifahen	4
menâfine	menafine	4
tesîsi	tesisi	4
muntazir	muntazır	4
açilmi	acilmi	4
tesîsine	tesisine	4
intizâren	intizaren	4
Marks’in	Marks’ın	4
mütemâdiyen	mütemadiyen	4
igali	ığalı	4
yakayi	yakayı	4
Aliçe	Alice	4
Fransizlar’in	Fransızlar’ın	4
Malta'dakilerin	Malta'dakılerin	4
Fransizlarca	Fransızlarca	4
azalmiştir	azalmıştır	4
Âzâde'nin	Azade'nin	4
hilâfetin	hilafetin	4
izhâr	izhar	4
Briand’in	Briand’ın	4
Tissier'ye	Tişsier'ye	4
Tissierye	Tişsierye	4
Afganistan’in	Afganistan’ın	4
âfiyette	afiyette	4
Lankwitz	Lankwıtz	4
dîniye	diniye	4
mütevâliyen	mütevaliyen	4
Kantarci	Kantarcı	3
Jak’in	Jak’ın	3
pusulanin	pusulanın	3
Rifk	Rıfk	3
firkaca	fırkaca	3
Rifaî	Rifai	3
fenaliklari	fenalıkları	3
okunabilmesi	okunabılmesi	3
yeralmaktadir	yeralmaktadır	3
yaptğimiz	yaptğımız	3
lâkabi	lakabı	3
Kemâli	Kemali	3
Câhid	Cahid	3
Hâlid'in	Halid'in	3
bazilar	bazılar	3
Erzincanli	Erzincanlı	3
yazicisi	yazıcısı	3
ayliğ	aylığ	3
erâmiline	eramılıne	3
hânenin	hanenin	3
emläkin	emlakin	3
Viçen	Vicen	3
anlaşıldiğindan	anlaşıldığından	3
