original	corrected	count
Düşünnıek	Düşünmek	1
oldıığııın	olduğum	1
ınıın	nun	1
Kurarn	Kuran	1
kurarn	kuran	1
Ekreın	Ekrem	1
enıperyal	emperyal	1
budutlarini	budutlarını	1
sinırliydi	sınırlıydı	1
isyanlari	isyanları	1
bürokratin	bürokratın	1
başkaldirilar	başkaldırılar	1
uygulamasinin	uygulamasının	1
urmanın	umarım	1
yakınmda	yakınında	1
çağrist	çağrışt	1
ortaklik	ortaklık	1
Idrisi	İdrisi	1
konumdaydi	konumdaydı	1
Idrisi'yle	İdrisi'yle	1
Yahya’nin	Yahya’nın	1
Yarimadast’ndaki	Yarımadast’ndakı	1
Antlaşmasiyla	Antlaşmasıyla	1
iirne	une	1
olduın	oldum	1
kurarnsal	kuramsal	1
konurnun	konunun	1
tüccarlan	tüccarları	1
isyanlan	isyanları	1
Beinin	Benim	1
verinılilik	verimlilik	1
Arneri	Ameri	1
Onoınan	Onoman	1
lnıperial	lmperial	1
Tıırkey	Turkey	1
Eınpire	Empire	1
Karnal	Kanal	1
Ottonıan	Ottoman	1
Armeni	Ameri	1
ınası	ması	1
