original	corrected	count
ilikin	ılıkın	68
aratirma	aratırma	58
halkbilimin	halkbılımın	36
halkbilimi	halkbılımı	36
halkbiliminin	halkbılımının	32
halkbilimine	halkbılımıne	28
davrani	davranı	21
inanilan	inanılan	21
halkbilimsel	halkbılımsel	19
Bibliyografyasi	Bibliyografyası	17
Acipayamli	Açıpayamlı	16
yapilmı	yapılmı	15
Halkbilimi	Halkbılımı	14
halkbilime	halkbılıme	14
değiik	değiık	14
Halkbilgisi	Halkbılgısı	13
yaygindir	yaygındır	13
halkbilimini	halkbılımını	11
Aratirmalari	Aratırmaları	10
Halkbilimin	Halkbılımın	10
Kirvelik	Kırvelik	10
araştirici	araştırıcı	10
Findikoğlu	Fındıkoğlu	9
aratiricinin	aratırıcının	9
karılik	karılık	9
hazirlanmi	hazırlanmı	9
kiisel	kıısel	8
Aratirma	Aratırma	8
budunbilim	budunbılım	8
halkbilimiyle	halkbılımıyle	8
yayimlamitir	yayımlamıtır	8
almitir	almıtır	8
aratirici	aratırıcı	8
asillarina	asıllarına	8
başlicalari	başlıcaları	8
Ilimler	İlimler	8
Etnografyanin	Etnografyanın	8
oyunlarina	oyunlarına	8
yayginliği	yaygınlığı	8
yaniyla	yanıyla	7
çalimalar	çalımalar	7
yayimlanmıtir	yayımlanmıtır	7
araştiricinin	araştırıcının	7
sorukâğidi	sorukâğıdı	7
ilikileri	ılıkıleri	7
oynamaktadir	oynamaktadır	7
oynamaktadirlar	oynamaktadırlar	7
Koşay'in	Koşay'ın	6
çalima	çalıma	6
yaptirim	yaptırım	6
Halkbiliminin	Halkbılımının	6
halkiyat	halkıyat	6
çalimalari	çalımaları	6
çalimalarini	çalımalarını	6
çalian	çalıan	6
bilimadamlarinin	bilimadamlarının	6
diındaki	diındakı	6
yapitlar	yapıtlar	6
yayimlanmitir	yayımlanmıtır	6
yapittir	yapıttır	6
ayrilmitir	ayrılmıtır	6
ilikilerini	ılıkılerini	6
aygiti	aygıtı	6
anlaılacaği	anlaılacağı	6
ayrilmaktadir	ayrılmaktadır	6
başliklari	başlıkları	6
taımaktadir	taimaktadır	6
ayrimlar	ayrımlar	6
kirklama	kırklama	6
inanilmaktadir	inanılmaktadır	6
adlarin	adların	6
sağliğinda	sağlığında	6
yapilmıtir	yapılmıtır	5
Aratirmalar	Aratırmalar	5
aratirmalar	aratırmalar	5
Hinçer	Hınçer	5
Ağizlarindan	Ağızlarından	5
bulundurmalari	bulundurmaları	5
iliki	ılıkı	5
Kizilcahamam	Kızılcahamam	5
uygulanir	uygulanır	5
anlaılir	anlaılır	5
Kilavuz'un	Kılavuz'un	5
konulariyla	konularıyla	5
Elkitabi	Elkitabı	5
cizgileriyle	çizgileriyle	5
yayimlanmaktadir	yayımlanmaktadır	5
ilikilerin	ılıkılerin	5
yakinlarinin	yakınlarının	5
başliyarak	başlıyarak	5
toplanmaktadir	toplanmaktadır	5
inanmalarin	inanmaların	5
mezarliklarin	mezarlıkların	5
gelii	geliı	4
Boratav'in	Boratav'ın	4
alinmakta	alınmakta	4
kavramlarin	kavramların	4
açıklanmaktadir	açıklanmaktadır	4
Yaptirimlar	Yaptırımlar	4
Mezarliklar	Mezarlıklar	4
ayrintilara	ayrıntılara	4
Ağitlar	Ağıtlar	4
karilik	karılık	4
Toplayicilarina	Toplayıcılarına	4
bulunmaktadirlar	bulunmaktadırlar	4
arivleme	arıvleme	4
diinda	diında	4
Bayri	Bayrı	4
Yanikoğlu	Yanıkoğlu	4
boyutlariyla	boyutlarıyla	4
değiiklik	değiıklık	4
MFAD'nin	Mfad'nın	4
Danima	Danıma	4
ilikiler	ılıkıler	4
yayımladiğ	yayımladığ	4
yapilmitir	yapılmıtır	4
Illeri	İlleri	4
siralanan	sıralanan	4
geliimini	geliımını	4
geliim	geliım	4
Cumali'nin	Cumalı'nın	4
tanitma	tanıtma	4
canlandiran	canlandıran	4
olgulari	olguları	4
fotoğrafin	fotoğrafın	4
konuklarin	konukların	4
kirve	kırve	4
alinmitir	alınmıtır	4
hazirlami	hazırlamı	4
Neriyati	Neriyatı	4
Findikoğlu'nun	Fındıkoğlu'nun	4
almaktadirlar	almaktadırlar	4
Kaynakçanin	Kaynakçanın	4
kaynakçanin	kaynakçanın	4
kaynakçasi	kaynakçası	4
yapilmi	yapılmı	4
bilimadami	bilimadamı	4
kinayici	kınayıcı	4
davranilar	davranılar	4
dümesi	dumesi	4
yapitina	yapıtına	4
yakinlarinca	yakınlarınca	4
