original	corrected	count
Romein	Romen	1
Sııit	Suit	1
karşıci	karşıcı	1
birakillyor	bırakıllyor	1
çıkarla	çıkarma	1
çura'nin	cura'nın	1
kapitalizmasi	kapitalizması	1
karaborsaciliğa	karaborsacılığa	1
MÜTEŞEBBISLER	MÜTEŞEBBİSLER	1
$IRKETLER	ŞİRKETLER	1
Odasi’nin	Odası’nın	1
Fransizlardi	Fransızlardı	1
Odasi'nin	Odası'nın	1
Sirbistan'da	Sırbistan'da	1
aşiyordu	aşıyordu	1
Kibris’ta	Kıbrıs’ta	1
Adalari'nda	Adaları'nda	1
Levant’di	Levant’dı	1
Société	Societe	1
yangi	yansı	1
taşimaciliğına	taşımacılığına	1
Ittibad	İttibad	1
Yillık	Yıllık	1
Aylik	Aylık	1
aşmışti	aşmıştı	1
almiyordu	almıyordu	1
açtiğ1	açtığı	1
Iskenderiye'de	İskenderiye'de	1
sayisin1	sayısını	1
Rusya’ydi	Rusya’ydı	1
yukaridakilerden	yukarıdakilerden	1
çikarmıti	çıkarmıtı	1
değiik	değiık	1
noktalarindaydi	noktalarındaydı	1
Rusyasi'ninkiydi	Rusyası'nınkıydı	1
LIMITED	LİMİTED	1
Acts	Açtı	1
SUARE	SÜRE	1
Gompanies	Gömpanıes	1
UNE	NE	1
ONE	ÖNE	1
ORIENTAL	ORİENTAL	1
LINITED	LİMİTED	1
tarm	tam	1
dışmda	dışında	1
Şürde	Şiirde	1
icli	içli	1
Mecmuasi'nda	Mecmuası'nda	1
yllarinda	yllarında	1
aksamımi	akşamımı	1
salabiyettar	salabıyettar	1
başyazisinda	başyazısında	1
kârl	Kari	1
yillariydi	yıllarıydı	1
atilimlarin	atılımların	1
Efkâr'daki	Efkar'dakı	1
farktir	farktır	1
Iktisadiyyat	İktisadiyyat	1
kanisindaydi	kanısındaydı	1
terakkiyyatin	terakkiyyatın	1
zorunluliığu	zorunluluğu	1
inevzuat	mevzuat	1
Meskı1kat	Meskukat	1
Arnerika'daki	Amerika'daki	1
Sariayi	Sanayi	1
oluşturulmali	oluşturulmalı	1
bulunulmaliydi	bulunulmalıydı	1
aydinlatacak	aydınlatacak	1
açılmaliydi	açılmalıydı	1
yansitacak	yansıtacak	1
uygarliğini	uygarlığını	1
